15:12:42.098772 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31341564:31341736, ack 17461, win 313, length 172
15:12:42.098826 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31341736:31341908, ack 17461, win 313, length 172
15:12:42.098881 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31341908:31342080, ack 17461, win 313, length 172
15:12:42.098906 IP 198.96.85.21.63664 > lamp-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 31329868, win 4123, length 0
15:12:42.098980 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31342080:31342372, ack 17461, win 313, length 292
15:12:42.099041 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31342372:31342544, ack 17461, win 313, length 172
15:12:42.099096 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31342544:31342716, ack 17461, win 313, length 172
15:12:42.099162 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31342716:31342888, ack 17461, win 313, length 172
15:12:42.099253 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31342888:31343060, ack 17461, win 313, length 172
15:12:42.099344 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31343060:31343232, ack 17461, win 313, length 172
15:12:42.099427 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31343232:31343404, ack 17461, win 313, length 172
15:12:42.099493 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31343404:31343576, ack 17461, win 313, length 172
15:12:42.099553 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31343576:31343748, ack 17461, win 313, length 172
15:12:42.099621 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31343748:31343920, ack 17461, win 313, length 172
15:12:42.099724 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31343920:31344092, ack 17461, win 313, length 172
15:12:42.099821 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31344092:31344264, ack 17461, win 313, length 172
